,Threshold,FAR,FRR
0,0.0,0.0,1.0
0,0.01,0.0196078431372549,0.21862348178137647
0,0.02,0.01875,0.1958333333333333
0,0.03,0.01818181818181818,0.17872340425531918
0,0.04,0.018072289156626505,0.17521367521367526
0,0.05,0.023668639053254437,0.16883116883116878
0,0.06,0.023391812865497075,0.16157205240174677
0,0.07,0.022988505747126436,0.1504424778761062
0,0.08,0.022598870056497175,0.13901345291479816
0,0.09,0.02247191011235955,0.1351351351351351
0,0.1,0.0223463687150838,0.13122171945701355
0,0.11,0.0223463687150838,0.13122171945701355
0,0.12,0.027624309392265192,0.1278538812785388
0,0.13,0.027624309392265192,0.1278538812785388
0,0.14,0.0273224043715847,0.11981566820276501
0,0.15,0.02717391304347826,0.1157407407407407
0,0.16,0.02717391304347826,0.1157407407407407
0,0.17,0.026737967914438502,0.10328638497652587
0,0.18,0.026737967914438502,0.10328638497652587
0,0.19,0.031746031746031744,0.09952606635071093
0,0.2,0.031578947368421054,0.09523809523809523
0,0.21,0.031413612565445025,0.09090909090909094
0,0.22,0.031413612565445025,0.09090909090909094
0,0.23,0.031413612565445025,0.09090909090909094
0,0.24,0.031413612565445025,0.09090909090909094
0,0.25,0.031413612565445025,0.09090909090909094
0,0.26,0.031413612565445025,0.09090909090909094
0,0.27,0.031413612565445025,0.09090909090909094
0,0.28,0.031413612565445025,0.09090909090909094
0,0.29,0.03125,0.08653846153846156
0,0.3,0.031088082901554404,0.08212560386473433
0,0.31,0.031088082901554404,0.08212560386473433
0,0.32,0.031088082901554404,0.08212560386473433
0,0.33,0.030927835051546393,0.07766990291262132
0,0.34,0.03076923076923077,0.07317073170731703
0,0.35,0.03076923076923077,0.07317073170731703
0,0.36,0.03076923076923077,0.07317073170731703
0,0.37,0.03571428571428571,0.07352941176470584
0,0.38,0.03571428571428571,0.07352941176470584
0,0.39,0.03571428571428571,0.07352941176470584
0,0.4,0.04060913705583756,0.07389162561576357
0,0.41,0.04060913705583756,0.07389162561576357
0,0.42,0.04060913705583756,0.07389162561576357
0,0.43,0.045454545454545456,0.07425742574257421
0,0.44,0.045454545454545456,0.07425742574257421
0,0.45,0.045,0.06499999999999995
0,0.46,0.045,0.06499999999999995
0,0.47,0.045,0.06499999999999995
0,0.48,0.045,0.06499999999999995
0,0.49,0.045,0.06499999999999995
0,0.5,0.04477611940298507,0.06030150753768848
0,0.51,0.04477611940298507,0.06030150753768848
0,0.52,0.04455445544554455,0.05555555555555558
0,0.53,0.04411764705882353,0.04591836734693877
0,0.54,0.04878048780487805,0.0461538461538461
0,0.55,0.04878048780487805,0.0461538461538461
0,0.56,0.05314009661835749,0.041450777202072575
0,0.57,0.05314009661835749,0.041450777202072575
0,0.58,0.05314009661835749,0.041450777202072575
0,0.59,0.06220095693779904,0.041884816753926746
0,0.6,0.06220095693779904,0.041884816753926746
0,0.61,0.06220095693779904,0.041884816753926746
0,0.62,0.06635071090047394,0.03703703703703709
0,0.63,0.07075471698113207,0.037234042553191515
0,0.64,0.07075471698113207,0.037234042553191515
0,0.65,0.07511737089201878,0.03743315508021394
0,0.66,0.07511737089201878,0.03743315508021394
0,0.67,0.0794392523364486,0.037634408602150504
0,0.68,0.0794392523364486,0.037634408602150504
0,0.69,0.0794392523364486,0.037634408602150504
0,0.7,0.0794392523364486,0.037634408602150504
0,0.71,0.07906976744186046,0.032432432432432434
0,0.72,0.07906976744186046,0.032432432432432434
0,0.73,0.0787037037037037,0.02717391304347827
0,0.74,0.0787037037037037,0.02717391304347827
0,0.75,0.0787037037037037,0.02717391304347827
0,0.76,0.0787037037037037,0.02717391304347827
0,0.77,0.0787037037037037,0.02717391304347827
0,0.78,0.0787037037037037,0.02717391304347827
0,0.79,0.0821917808219178,0.016574585635359074
0,0.8,0.0821917808219178,0.016574585635359074
0,0.81,0.0821917808219178,0.016574585635359074
0,0.82,0.08181818181818182,0.011111111111111072
0,0.83,0.08181818181818182,0.011111111111111072
0,0.84,0.08597285067873303,0.011173184357541888
0,0.85,0.09009009009009009,0.011235955056179803
0,0.86,0.09009009009009009,0.011235955056179803
0,0.87,0.09009009009009009,0.011235955056179803
0,0.88,0.09821428571428571,0.011363636363636354
0,0.89,0.10222222222222223,0.011428571428571455
0,0.9,0.11013215859030837,0.011560693641618491
0,0.91,0.11403508771929824,0.011627906976744207
0,0.92,0.11790393013100436,0.011695906432748537
0,0.93,0.12554112554112554,0.011834319526627168
0,0.94,0.13675213675213677,0.012048192771084376
0,0.95,0.13675213675213677,0.012048192771084376
0,0.96,0.14767932489451477,0.012269938650306789
0,0.97,0.16182572614107885,0.012578616352201255
0,0.98,0.18875502008032127,0.013245033112582738
0,0.99,0.23484848484848486,0.014705882352941124
0,1.0,1.0,0.0
