,button,genuine,signature,time,x,y
0,0,1.0,1.0,31077710,635,5541
1,1,1.0,1.0,31077720,618,5431
2,1,1.0,1.0,31077730,600,5443
3,1,1.0,1.0,31077740,575,5515
4,1,1.0,1.0,31077750,575,5515
5,1,1.0,1.0,31077760,608,5515
6,1,1.0,1.0,31077770,664,5521
7,1,1.0,1.0,31077780,778,5564
8,1,1.0,1.0,31077790,928,5638
9,1,1.0,1.0,31077800,1101,5732
10,1,1.0,1.0,31077810,1329,5843
11,1,1.0,1.0,31077820,1535,5953
12,1,1.0,1.0,31077830,1726,6026
13,1,1.0,1.0,31077840,1834,6075
14,1,1.0,1.0,31077850,1888,6090
15,0,1.0,1.0,31077970,1407,5619
16,1,1.0,1.0,31077980,1420,5384
17,1,1.0,1.0,31077990,1400,5421
18,1,1.0,1.0,31078000,1411,5257
19,1,1.0,1.0,31078010,1455,4979
20,1,1.0,1.0,31078020,1520,4624
21,1,1.0,1.0,31078030,1560,4322
22,1,1.0,1.0,31078040,1573,4077
23,1,1.0,1.0,31078050,1568,3871
24,1,1.0,1.0,31078060,1513,3704
25,1,1.0,1.0,31078070,1441,3594
26,1,1.0,1.0,31078080,1358,3523
27,1,1.0,1.0,31078090,1264,3491
28,1,1.0,1.0,31078100,1179,3519
29,1,1.0,1.0,31078110,1099,3588
30,0,1.0,1.0,31078261,2363,5134
31,1,1.0,1.0,31078271,2899,5079
32,1,1.0,1.0,31078281,3063,5193
33,1,1.0,1.0,31078291,3166,5396
34,1,1.0,1.0,31078301,3334,5452
35,1,1.0,1.0,31078311,3503,5501
36,1,1.0,1.0,31078321,3700,5546
37,1,1.0,1.0,31078331,3914,5602
38,1,1.0,1.0,31078341,4094,5655
39,1,1.0,1.0,31078351,4233,5683
40,0,1.0,1.0,31078671,3929,6180
41,1,1.0,1.0,31078681,3929,6180
42,1,1.0,1.0,31078691,3880,6135
43,1,1.0,1.0,31078701,3779,6108
44,1,1.0,1.0,31078711,3646,5948
45,1,1.0,1.0,31078721,3517,5737
46,1,1.0,1.0,31078731,3368,5491
47,1,1.0,1.0,31078741,3203,5234
48,1,1.0,1.0,31078751,3075,5062
49,1,1.0,1.0,31078761,3000,4947
50,1,1.0,1.0,31078771,2961,4895
51,1,1.0,1.0,31078781,2952,4882
52,0,1.0,1.0,31078822,3134,5042
53,1,1.0,1.0,31078832,3289,5158
54,1,1.0,1.0,31078842,3326,5112
55,1,1.0,1.0,31078852,3347,5021
56,1,1.0,1.0,31078862,3358,4801
57,1,1.0,1.0,31078872,3358,4498
58,1,1.0,1.0,31078882,3374,4140
59,1,1.0,1.0,31078892,3380,3791
60,1,1.0,1.0,31078902,3380,3560
61,1,1.0,1.0,31078912,3380,3407
62,1,1.0,1.0,31078922,3373,3296
63,1,1.0,1.0,31078932,3363,3228
64,1,1.0,1.0,31078942,3357,3190
65,0,1.0,1.0,31079022,3494,4481
66,1,1.0,1.0,31079032,3818,4689
67,1,1.0,1.0,31079042,3924,4860
68,1,1.0,1.0,31079052,3993,4934
69,1,1.0,1.0,31079062,4051,4934
70,1,1.0,1.0,31079072,4116,4893
71,1,1.0,1.0,31079082,4186,4831
72,1,1.0,1.0,31079092,4206,4738
73,1,1.0,1.0,31079102,4206,4624
74,1,1.0,1.0,31079112,4201,4466
75,1,1.0,1.0,31079122,4223,4306
76,1,1.0,1.0,31079132,4281,4174
77,1,1.0,1.0,31079142,4363,4063
78,1,1.0,1.0,31079152,4446,3957
79,1,1.0,1.0,31079162,4530,3847
80,1,1.0,1.0,31079172,4585,3713
81,1,1.0,1.0,31079182,4621,3565
82,1,1.0,1.0,31079192,4603,3436
83,1,1.0,1.0,31079202,4547,3355
84,1,1.0,1.0,31079212,4466,3306
85,1,1.0,1.0,31079222,4369,3316
86,1,1.0,1.0,31079232,4268,3406
87,1,1.0,1.0,31079242,4163,3549
88,1,1.0,1.0,31079252,4102,3742
89,1,1.0,1.0,31079262,4082,3898
90,1,1.0,1.0,31079272,4090,4029
91,1,1.0,1.0,31079282,4145,4115
92,1,1.0,1.0,31079292,4291,4229
93,1,1.0,1.0,31079302,4497,4361
94,1,1.0,1.0,31079312,4715,4495
95,1,1.0,1.0,31079322,4866,4576
96,0,1.0,1.0,31079603,6264,5781
97,1,1.0,1.0,31079613,6251,5489
98,1,1.0,1.0,31079623,6171,5420
99,1,1.0,1.0,31079633,6074,5411
100,1,1.0,1.0,31079643,5993,5272
101,1,1.0,1.0,31079653,5922,5046
102,1,1.0,1.0,31079663,5853,4851
103,1,1.0,1.0,31079673,5789,4738
104,1,1.0,1.0,31079683,5767,4679
105,1,1.0,1.0,31079693,5772,4679
106,1,1.0,1.0,31079703,5802,4724
107,1,1.0,1.0,31079713,5890,4791
108,1,1.0,1.0,31079723,6016,4877
109,1,1.0,1.0,31079733,6172,4944
