,Unnamed: 0,button,genuine,signature,time,user,x,y
0,0.0,0,1.0,1.0,0,,0,3802
1,1.0,1,1.0,1.0,10,,124,4001
2,2.0,1,1.0,1.0,20,,137,4071
3,3.0,1,1.0,1.0,30,,108,4145
4,4.0,1,1.0,1.0,40,,108,4135
5,5.0,1,1.0,1.0,50,,145,4100
6,6.0,1,1.0,1.0,60,,200,4048
7,7.0,1,1.0,1.0,70,,278,3985
8,8.0,1,1.0,1.0,80,,366,3926
9,9.0,1,1.0,1.0,90,,460,3869
10,10.0,1,1.0,1.0,100,,536,3809
11,11.0,1,1.0,1.0,110,,596,3725
12,12.0,1,1.0,1.0,120,,646,3624
13,13.0,0,1.0,1.0,230,,76,3200
14,14.0,1,1.0,1.0,240,,76,3200
15,15.0,1,1.0,1.0,250,,47,3255
16,16.0,1,1.0,1.0,260,,52,3255
17,17.0,1,1.0,1.0,270,,92,3283
18,18.0,1,1.0,1.0,280,,179,3331
19,19.0,1,1.0,1.0,290,,289,3381
20,20.0,1,1.0,1.0,300,,415,3423
21,21.0,1,1.0,1.0,310,,495,3423
22,22.0,1,1.0,1.0,320,,545,3404
23,23.0,1,1.0,1.0,330,,575,3337
24,24.0,1,1.0,1.0,340,,600,3233
25,25.0,1,1.0,1.0,350,,572,3104
26,26.0,1,1.0,1.0,361,,508,2986
27,27.0,1,1.0,1.0,371,,465,2878
28,28.0,1,1.0,1.0,381,,424,2776
29,29.0,1,1.0,1.0,391,,383,2683
30,30.0,1,1.0,1.0,401,,352,2618
31,31.0,1,1.0,1.0,411,,342,2572
32,32.0,1,1.0,1.0,421,,347,2566
33,33.0,1,1.0,1.0,431,,370,2603
34,34.0,1,1.0,1.0,441,,420,2670
35,35.0,1,1.0,1.0,451,,488,2794
36,36.0,1,1.0,1.0,461,,563,2916
37,37.0,1,1.0,1.0,471,,638,3014
38,38.0,1,1.0,1.0,481,,711,3097
39,39.0,1,1.0,1.0,491,,760,3152
40,40.0,1,1.0,1.0,501,,794,3170
41,41.0,1,1.0,1.0,511,,794,3164
42,42.0,1,1.0,1.0,521,,784,3141
43,43.0,1,1.0,1.0,531,,758,3063
44,44.0,1,1.0,1.0,541,,685,2949
45,45.0,1,1.0,1.0,551,,579,2801
46,46.0,1,1.0,1.0,561,,452,2626
47,47.0,1,1.0,1.0,571,,304,2434
48,48.0,1,1.0,1.0,581,,160,2284
49,49.0,1,1.0,1.0,591,,79,2189
50,50.0,1,1.0,1.0,601,,38,2131
51,51.0,1,1.0,1.0,611,,44,2131
52,52.0,1,1.0,1.0,621,,87,2152
53,53.0,1,1.0,1.0,631,,155,2195
54,54.0,1,1.0,1.0,641,,257,2292
55,55.0,1,1.0,1.0,651,,372,2409
56,56.0,1,1.0,1.0,661,,495,2539
