x,y,time,button,azimuth,altitude,pressure,user,signature,genuine
2933,6123,40542012,0,1310,710,699,27,1,1
2961,6113,40542022,1,1290,680,707,27,1,1
2927,6147,40542032,1,1300,670,702,27,1,1
2918,6198,40542042,1,1300,660,702,27,1,1
2925,6214,40542052,1,1300,630,702,27,1,1
3022,6275,40542062,1,1300,620,721,27,1,1
3190,6366,40542072,1,1310,610,721,27,1,1
3406,6478,40542082,1,1320,590,733,27,1,1
3659,6564,40542092,1,1340,580,739,27,1,1
3898,6633,40542102,1,1320,580,758,27,1,1
4127,6663,40542112,1,1350,580,759,27,1,1
4305,6649,40542122,1,1350,580,774,27,1,1
4407,6605,40542132,1,1350,580,797,27,1,1
4458,6519,40542142,1,1360,580,842,27,1,1
4458,6378,40542152,1,1380,580,864,27,1,1
4409,6201,40542162,1,1390,580,872,27,1,1
4322,6007,40542172,1,1390,580,878,27,1,1
4216,5810,40542182,1,1390,580,885,27,1,1
4115,5661,40542193,1,1380,590,881,27,1,1
4018,5546,40542203,1,1380,590,872,27,1,1
3941,5450,40542213,1,1380,590,863,27,1,1
3881,5379,40542223,1,1360,600,788,27,1,1
3831,5324,40542233,1,1360,600,645,27,1,1
3779,5309,40542243,1,1350,600,257,27,1,1
3488,5970,40542303,0,1290,610,367,27,1,1
3515,6124,40542313,1,1290,610,731,27,1,1
3527,6072,40542323,1,1290,610,730,27,1,1
3500,6065,40542333,1,1300,620,737,27,1,1
3465,5945,40542343,1,1300,620,746,27,1,1
3424,5750,40542363,1,1320,610,750,27,1,1
3397,5584,40542373,1,1320,610,782,27,1,1
3365,5395,40542383,1,1320,610,817,27,1,1
3307,5191,40542393,1,1320,610,837,27,1,1
3232,4993,40542403,1,1340,610,864,27,1,1
3154,4832,40542413,1,1340,610,896,27,1,1
3085,4697,40542423,1,1340,610,912,27,1,1
3051,4633,40542433,1,1340,610,917,27,1,1
3038,4600,40542443,1,1320,610,911,27,1,1
3044,4589,40542453,1,1320,610,912,27,1,1
3085,4583,40542463,1,1320,610,909,27,1,1
3148,4615,40542473,1,1300,620,902,27,1,1
3273,4673,40542483,1,1290,630,906,27,1,1
3457,4783,40542493,1,1290,630,902,27,1,1
3680,4893,40542503,1,1270,630,903,27,1,1
3956,5004,40542513,1,1250,640,915,27,1,1
4245,5064,40542523,1,1250,640,912,27,1,1
4542,5087,40542533,1,1250,640,912,27,1,1
4818,5087,40542533,1,1250,640,921,27,1,1
5010,5028,40542543,1,1290,640,927,27,1,1
5146,4908,40542553,1,1290,640,941,27,1,1
5226,4746,40542563,1,1290,640,944,27,1,1
5239,4569,40542573,1,1290,640,968,27,1,1
5208,4379,40542583,1,1300,650,991,27,1,1
5139,4180,40542593,1,1300,650,988,27,1,1
5050,4026,40542603,1,1300,650,991,27,1,1
4948,3890,40542613,1,1300,650,988,27,1,1
4821,3767,40542623,1,1300,650,992,27,1,1
4650,3664,40542633,1,1300,650,980,27,1,1
4449,3593,40542643,1,1300,650,947,27,1,1
4218,3544,40542653,1,1300,650,921,27,1,1
3965,3529,40542663,1,1300,650,906,27,1,1
3698,3556,40542673,1,1300,650,876,27,1,1
3462,3610,40542683,1,1280,650,885,27,1,1
3273,3673,40542693,1,1250,650,887,27,1,1
3114,3733,40542703,1,1250,650,893,27,1,1
3023,3785,40542713,1,1250,650,899,27,1,1
2986,3825,40542723,1,1240,640,905,27,1,1
2986,3881,40542733,1,1240,640,906,27,1,1
3029,3948,40542743,1,1240,640,899,27,1,1
3140,4035,40542753,1,1240,640,920,27,1,1
3296,4128,40542763,1,1220,650,929,27,1,1
3499,4225,40542773,1,1220,650,927,27,1,1
3732,4315,40542783,1,1220,650,927,27,1,1
3985,4403,40542793,1,1220,650,911,27,1,1
4221,4466,40542803,1,1220,650,811,27,1,1
4442,4515,40542813,1,1240,640,418,27,1,1
6734,6033,40543154,0,1360,430,791,27,1,1
6750,6060,40543164,1,1360,440,794,27,1,1
6725,6136,40543174,1,1360,450,782,27,1,1
6738,6167,40543184,1,1350,450,788,27,1,1
6777,6120,40543194,1,1360,470,793,27,1,1
6880,6022,40543204,1,1360,480,796,27,1,1
6977,5904,40543214,1,1370,500,796,27,1,1
7069,5783,40543224,1,1380,510,793,27,1,1
7184,5697,40543234,1,1390,520,788,27,1,1
7234,5637,40543244,1,1390,550,771,27,1,1
7241,5600,40543254,1,1390,570,752,27,1,1
7264,5591,40543264,1,1390,580,693,27,1,1
