x,y,time,button,azimuth,altitude,pressure,user,signature,genuine
605,1932,0,0,1030,640,200,36,1,1
627,2013,10,1,1050,640,249,36,1,1
627,2035,20,1,1050,640,299,36,1,1
627,2044,30,1,1080,650,344,36,1,1
632,2044,40,1,1080,650,372,36,1,1
640,2037,50,1,1100,650,402,36,1,1
651,2024,60,1,1100,650,413,36,1,1
665,1976,70,1,1120,640,404,36,1,1
676,1907,80,1,1130,650,396,36,1,1
685,1844,90,1,1130,650,317,36,1,1
691,1776,100,1,1130,650,144,36,1,1
471,1574,210,0,1050,640,196,36,1,1
402,1538,220,1,1050,640,275,36,1,1
373,1524,230,1,1050,640,294,36,1,1
355,1512,240,1,1040,630,348,36,1,1
355,1512,250,1,1040,630,396,36,1,1
401,1512,260,1,1040,630,417,36,1,1
472,1520,270,1,1040,630,441,36,1,1
592,1537,280,1,1070,640,463,36,1,1
718,1579,290,1,1070,640,469,36,1,1
853,1634,300,1,1070,640,471,36,1,1
990,1699,310,1,1080,650,445,36,1,1
1078,1737,320,1,1100,660,399,36,1,1
1134,1744,330,1,1100,660,244,36,1,1
1148,1731,340,1,1110,670,70,36,1,1
684,1526,471,0,1060,660,202,36,1,1
683,1489,481,1,1050,650,225,36,1,1
653,1423,491,1,1050,650,324,36,1,1
603,1328,501,1,1050,650,420,36,1,1
522,1202,511,1,1030,650,493,36,1,1
419,1061,521,1,1030,650,498,36,1,1
305,910,531,1,1030,650,512,36,1,1
207,763,541,1,1010,660,499,36,1,1
120,661,551,1,990,660,468,36,1,1
56,590,561,1,990,650,453,36,1,1
19,565,571,1,960,650,304,36,1,1
0,580,581,1,940,640,179,36,1,1
9,622,591,1,920,640,68,36,1,1
228,1053,641,0,940,620,51,36,1,1
357,1229,651,1,960,620,101,36,1,1
405,1281,661,1,970,620,156,36,1,1
436,1295,671,1,980,630,216,36,1,1
467,1270,681,1,1000,630,267,36,1,1
500,1220,691,1,1000,630,351,36,1,1
533,1130,701,1,1000,640,393,36,1,1
580,1035,711,1,1000,640,415,36,1,1
645,933,721,1,1010,650,417,36,1,1
723,835,731,1,990,660,418,36,1,1
798,769,741,1,990,660,425,36,1,1
878,721,751,1,970,670,402,36,1,1
964,679,761,1,950,680,354,36,1,1
1047,679,771,1,950,680,160,36,1,1
1225,1492,881,0,940,660,356,36,1,1
1208,1467,891,1,940,660,373,36,1,1
1187,1424,901,1,940,660,362,36,1,1
1172,1355,911,1,970,670,387,36,1,1
1167,1286,921,1,970,670,382,36,1,1
1176,1236,931,1,970,680,330,36,1,1
1193,1199,941,1,970,680,302,36,1,1
1213,1199,951,1,970,680,256,36,1,1
1236,1247,961,1,950,680,151,36,1,1
1264,1320,971,1,950,680,153,36,1,1
1294,1428,981,1,950,680,155,36,1,1
1324,1550,991,1,950,680,179,36,1,1
1356,1682,1001,1,950,680,198,36,1,1
1389,1820,1011,1,970,680,247,36,1,1
1431,1952,1021,1,1000,680,267,36,1,1
1474,2049,1031,1,1000,690,277,36,1,1
1505,2126,1041,1,1030,690,281,36,1,1
1527,2164,1051,1,1050,680,315,36,1,1
1540,2176,1061,1,1080,680,334,36,1,1
1545,2176,1071,1,1080,680,344,36,1,1
1545,2131,1081,1,1100,680,371,36,1,1
1545,2036,1091,1,1110,690,366,36,1,1
1550,1904,1101,1,1110,690,384,36,1,1
1567,1714,1111,1,1110,690,374,36,1,1
1592,1488,1121,1,1100,700,404,36,1,1
1622,1237,1131,1,1070,700,413,36,1,1
1653,982,1141,1,1050,710,439,36,1,1
1686,747,1151,1,1020,720,473,36,1,1
1714,526,1161,1,960,720,474,36,1,1
1738,338,1171,1,930,730,520,36,1,1
1746,207,1181,1,900,740,526,36,1,1
1737,113,1191,1,870,740,561,36,1,1
1716,51,1201,1,830,740,591,36,1,1
1670,16,1211,1,800,740,583,36,1,1
1582,0,1221,1,760,740,551,36,1,1
1466,21,1231,1,760,740,471,36,1,1
1346,53,1241,1,760,740,155,36,1,1
0,0,1251,0,0,0,0,36,1,1
0,0,1261,0,0,0,0,36,1,1
0,0,1271,0,0,0,0,36,1,1
0,0,1281,0,0,0,0,36,1,1
0,0,1291,0,0,0,0,36,1,1
0,0,1301,0,0,0,0,36,1,1
0,0,1311,0,0,0,0,36,1,1
0,0,1321,0,0,0,0,36,1,1
0,0,1331,0,0,0,0,36,1,1
0,0,1341,0,0,0,0,36,1,1
0,0,1351,0,0,0,0,36,1,1
0,0,1361,0,0,0,0,36,1,1
0,0,1371,0,0,0,0,36,1,1
0,0,1381,0,0,0,0,36,1,1
0,0,1391,0,0,0,0,36,1,1
0,0,1401,0,0,0,0,36,1,1
0,0,1411,0,0,0,0,36,1,1
0,0,1421,0,0,0,0,36,1,1
0,0,1431,0,0,0,0,36,1,1
0,0,1441,0,0,0,0,36,1,1
0,0,1451,0,0,0,0,36,1,1
0,0,1461,0,0,0,0,36,1,1
0,0,1471,0,0,0,0,36,1,1
0,0,1481,0,0,0,0,36,1,1
0,0,1491,0,0,0,0,36,1,1
0,0,1501,0,0,0,0,36,1,1
0,0,1511,0,0,0,0,36,1,1
0,0,1521,0,0,0,0,36,1,1
0,0,1531,0,0,0,0,36,1,1
0,0,1541,0,0,0,0,36,1,1
0,0,1551,0,0,0,0,36,1,1
0,0,1561,0,0,0,0,36,1,1
0,0,1571,0,0,0,0,36,1,1
0,0,1581,0,0,0,0,36,1,1
0,0,1591,0,0,0,0,36,1,1
0,0,1601,0,0,0,0,36,1,1
0,0,1611,0,0,0,0,36,1,1
0,0,1621,0,0,0,0,36,1,1
0,0,1631,0,0,0,0,36,1,1
0,0,1641,0,0,0,0,36,1,1
0,0,1651,0,0,0,0,36,1,1
0,0,1661,0,0,0,0,36,1,1
0,0,1671,0,0,0,0,36,1,1
0,0,1681,0,0,0,0,36,1,1
0,0,1691,0,0,0,0,36,1,1
0,0,1701,0,0,0,0,36,1,1
0,0,1711,0,0,0,0,36,1,1
0,0,1721,0,0,0,0,36,1,1
0,0,1731,0,0,0,0,36,1,1
0,0,1741,0,0,0,0,36,1,1
0,0,1751,0,0,0,0,36,1,1
0,0,1761,0,0,0,0,36,1,1
0,0,1771,0,0,0,0,36,1,1
0,0,1781,0,0,0,0,36,1,1
0,0,1791,0,0,0,0,36,1,1
0,0,1801,0,0,0,0,36,1,1
0,0,1811,0,0,0,0,36,1,1
0,0,1821,0,0,0,0,36,1,1
0,0,1831,0,0,0,0,36,1,1
0,0,1841,0,0,0,0,36,1,1
0,0,1851,0,0,0,0,36,1,1
0,0,1861,0,0,0,0,36,1,1
0,0,1871,0,0,0,0,36,1,1
0,0,1881,0,0,0,0,36,1,1
0,0,1891,0,0,0,0,36,1,1
0,0,1901,0,0,0,0,36,1,1
0,0,1911,0,0,0,0,36,1,1
0,0,1921,0,0,0,0,36,1,1
0,0,1931,0,0,0,0,36,1,1
0,0,1941,0,0,0,0,36,1,1
0,0,1951,0,0,0,0,36,1,1
0,0,1961,0,0,0,0,36,1,1
0,0,1971,0,0,0,0,36,1,1
0,0,1981,0,0,0,0,36,1,1
0,0,1991,0,0,0,0,36,1,1
0,0,2001,0,0,0,0,36,1,1
0,0,2011,0,0,0,0,36,1,1
0,0,2021,0,0,0,0,36,1,1
0,0,2031,0,0,0,0,36,1,1
0,0,2041,0,0,0,0,36,1,1
0,0,2051,0,0,0,0,36,1,1
0,0,2061,0,0,0,0,36,1,1
0,0,2071,0,0,0,0,36,1,1
0,0,2081,0,0,0,0,36,1,1
0,0,2091,0,0,0,0,36,1,1
0,0,2101,0,0,0,0,36,1,1
0,0,2111,0,0,0,0,36,1,1
0,0,2121,0,0,0,0,36,1,1
0,0,2131,0,0,0,0,36,1,1
0,0,2141,0,0,0,0,36,1,1
0,0,2151,0,0,0,0,36,1,1
0,0,2161,0,0,0,0,36,1,1
0,0,2171,0,0,0,0,36,1,1
0,0,2181,0,0,0,0,36,1,1
0,0,2191,0,0,0,0,36,1,1
0,0,2201,0,0,0,0,36,1,1
