x,y,time,button,azimuth,altitude,pressure,user,signature,genuine
2933,5678,31275775,0,1550,710,439,1,1,1
2933,5678,31275785,1,1480,770,420,1,1,1
3001,5851,31275795,1,1350,830,433,1,1,1
3114,6139,31275805,1,1350,800,422,1,1,1
3217,6198,31275815,1,1350,800,415,1,1,1
3329,6213,31275825,1,1350,800,423,1,1,1
3447,6199,31275835,1,1350,800,439,1,1,1
3542,6176,31275845,1,1350,800,491,1,1,1
3617,6124,31275855,1,1350,800,561,1,1,1
3678,6053,31275865,1,1350,800,613,1,1,1
3733,5860,31275875,1,1350,800,638,1,1,1
3772,5547,31275885,1,1350,800,650,1,1,1
3799,5153,31275895,1,1350,800,649,1,1,1
3814,4787,31275905,1,1350,800,661,1,1,1
3814,4417,31275915,1,1350,800,662,1,1,1
3806,4178,31275925,1,1350,800,662,1,1,1
3799,4029,31275935,1,1350,790,631,1,1,1
3794,3960,31275945,1,1320,770,465,1,1,1
3224,4399,31276045,0,1320,580,584,1,1,1
3334,4336,31276055,1,1310,560,599,1,1,1
3334,4484,31276065,1,1310,540,595,1,1,1
3420,4557,31276075,1,1300,520,599,1,1,1
3616,4579,31276085,1,1320,510,600,1,1,1
3883,4610,31276095,1,1300,510,606,1,1,1
4054,4596,31276105,1,1300,510,606,1,1,1
4152,4553,31276115,1,1320,500,609,1,1,1
4201,4446,31276125,1,1320,500,611,1,1,1
4161,4239,31276135,1,1320,500,603,1,1,1
4085,3966,31276145,1,1300,510,594,1,1,1
3985,3669,31276155,1,1300,510,603,1,1,1
3902,3405,31276165,1,1320,510,636,1,1,1
3852,3265,31276175,1,1300,520,693,1,1,1
3823,3197,31276185,1,1300,520,733,1,1,1
3830,3197,31276195,1,1300,530,767,1,1,1
3881,3197,31276205,1,1300,530,787,1,1,1
3962,3197,31276215,1,1300,530,788,1,1,1
4139,3268,31276225,1,1290,530,791,1,1,1
4391,3388,31276235,1,1290,530,700,1,1,1
4692,3543,31276245,1,1300,540,346,1,1,1
6570,5691,31276396,0,1470,510,625,1,1,1
6579,5946,31276406,1,1480,500,659,1,1,1
6558,6112,31276416,1,1500,480,656,1,1,1
6542,6151,31276426,1,1510,470,659,1,1,1
6571,6031,31276436,1,1520,460,663,1,1,1
6629,5805,31276446,1,1520,460,679,1,1,1
6645,5471,31276456,1,1530,460,690,1,1,1
6636,5047,31276466,1,1540,460,690,1,1,1
6609,4564,31276476,1,1530,470,699,1,1,1
6572,4226,31276486,1,1520,480,700,1,1,1
6526,4037,31276496,1,1510,480,694,1,1,1
6475,3948,31276506,1,1490,490,702,1,1,1
6414,3931,31276516,1,1480,500,642,1,1,1
6349,3968,31276526,1,1480,500,417,1,1,1
6281,4041,31276536,1,1450,510,68,1,1,1
6281,4041,31276556,0,1430,520,51,1,1,1
6288,5047,31276566,1,1430,520,218,1,1,1
6423,5563,31276576,1,1410,520,348,1,1,1
6612,5990,31276586,1,1410,530,455,1,1,1
6838,6359,31276596,1,1410,530,533,1,1,1
7025,6702,31276606,1,1420,540,575,1,1,1
7181,6838,31276616,1,1420,540,609,1,1,1
7316,6838,31276626,1,1450,540,669,1,1,1
7429,6713,31276636,1,1450,540,763,1,1,1
7515,6394,31276646,1,1460,530,802,1,1,1
7583,5944,31276656,1,1460,530,817,1,1,1
7646,5308,31276666,1,1480,530,822,1,1,1
7706,4685,31276676,1,1480,530,828,1,1,1
7764,4072,31276686,1,1480,530,824,1,1,1
7827,3651,31276696,1,1500,520,825,1,1,1
7846,3441,31276706,1,1520,530,832,1,1,1
7835,3371,31276716,1,1510,530,777,1,1,1
7752,3328,31276726,1,1520,540,591,1,1,1
5793,4016,31276806,0,1440,560,700,1,1,1
6005,4222,31276816,1,1440,560,768,1,1,1
6131,4628,31276826,1,1430,550,821,1,1,1
6519,4941,31276836,1,1430,550,827,1,1,1
6982,5117,31276846,1,1430,550,837,1,1,1
7496,5203,31276856,1,1410,550,828,1,1,1
7964,5296,31276866,1,1420,540,788,1,1,1
8266,5308,31276876,1,1430,530,561,1,1,1
7398,5917,31276957,0,1480,530,822,1,1,1
7093,5611,31276967,1,1490,530,748,1,1,1
6941,5499,31276977,1,1500,520,749,1,1,1
6862,5477,31276987,1,1510,510,636,1,1,1
3369,6291,27659642,0,1120,640,687,21,2,1
3404,6251,27659652,1,1120,640,693,21,2,1
3392,6266,27659662,1,1150,630,690,21,2,1
3377,6266,27659672,1,1200,620,690,21,2,1
3445,6266,27659682,1,1240,600,688,21,2,1
3570,6277,27659692,1,1280,580,664,21,2,1
3669,6277,27659702,1,1280,570,622,21,2,1
3726,6269,27659712,1,1300,580,543,21,2,1
3754,6257,27659722,1,1310,570,450,21,2,1
3763,6214,27659732,1,1310,570,272,21,2,1
3329,5515,27659792,0,1300,580,316,21,2,1
3218,5387,27659802,1,1290,590,407,21,2,1
3182,5382,27659812,1,1290,590,418,21,2,1
3189,5400,27659822,1,1280,590,428,21,2,1
3225,5413,27659832,1,1280,590,425,21,2,1
3312,5454,27659842,1,1260,600,431,21,2,1
3429,5513,27659852,1,1250,590,450,21,2,1
3567,5522,27659862,1,1240,600,472,21,2,1
3701,5475,27659872,1,1240,600,497,21,2,1
3796,5391,27659882,1,1220,600,509,21,2,1
3866,5244,27659892,1,1220,600,519,21,2,1
3897,5077,27659902,1,1200,600,532,21,2,1
3897,4898,27659912,1,1200,600,537,21,2,1
3865,4710,27659922,1,1190,610,536,21,2,1
3812,4577,27659932,1,1190,610,561,21,2,1
3739,4482,27659942,1,1170,610,595,21,2,1
3652,4388,27659952,1,1170,610,589,21,2,1
3553,4292,27659962,1,1150,620,591,21,2,1
3456,4225,27659972,1,1150,620,588,21,2,1
3363,4178,27659982,1,1150,620,578,21,2,1
3285,4193,27659992,1,1140,620,562,21,2,1
3218,4264,27660002,1,1140,620,546,21,2,1
3175,4372,27660012,1,1140,620,553,21,2,1
3190,4522,27660022,1,1130,630,568,21,2,1
3243,4652,27660032,1,1130,630,570,21,2,1
3341,4768,27660042,1,1130,630,589,21,2,1
3476,4860,27660052,1,1130,630,606,21,2,1
3635,4918,27660062,1,1130,630,628,21,2,1
3828,4954,27660072,1,1130,630,647,21,2,1
4012,4970,27660082,1,1130,630,667,21,2,1
4189,4981,27660092,1,1130,630,676,21,2,1
4346,4981,27660102,1,1150,630,679,21,2,1
4455,4972,27660112,1,1150,630,679,21,2,1
4531,4967,27660122,1,1160,640,685,21,2,1
4572,4967,27660132,1,1170,630,675,21,2,1
4607,4967,27660142,1,1170,630,652,21,2,1
4638,5005,27660152,1,1170,630,545,21,2,1
4685,5058,27660162,1,1190,630,294,21,2,1
4897,5739,27660202,0,1240,640,89,21,2,1
5006,6166,27660212,1,1240,640,438,21,2,1
5018,6207,27660222,1,1250,640,494,21,2,1
5018,6207,27660232,1,1270,630,559,21,2,1
5018,6177,27660242,1,1290,640,649,21,2,1
5018,6117,27660252,1,1300,630,696,21,2,1
5024,6001,27660262,1,1300,630,707,21,2,1
5024,5866,27660272,1,1320,630,717,21,2,1
5024,5718,27660282,1,1330,630,730,21,2,1
5029,5601,27660292,1,1330,630,721,21,2,1
5029,5515,27660302,1,1350,630,725,21,2,1
5029,5451,27660312,1,1350,630,721,21,2,1
5029,5440,27660322,1,1350,630,719,21,2,1
5047,5457,27660332,1,1350,630,664,21,2,1
5094,5494,27660342,1,1350,630,574,21,2,1
5162,5631,27660352,1,1350,630,388,21,2,1
5263,5859,27660362,1,1350,630,94,21,2,1
5354,6149,27660372,1,1350,630,180,21,2,1
5437,6464,27660382,1,1350,630,425,21,2,1
